Category_1,Category_2,Percentage
0-4,Female,3.9
0-4,Male,4.1
10-14,Female,4.1
10-14,Male,4.3
100+,Female,0.0
100+,Male,0.0
15-19,Female,4.2
15-19,Male,4.3
20-24,Female,4.1
20-24,Male,4.1
25-29,Female,4.1
25-29,Male,4.0
30-34,Female,4.1
30-34,Male,3.9
35-39,Female,3.8
35-39,Male,3.7
40-44,Female,3.3
40-44,Male,3.3
45-49,Female,3.0
45-49,Male,3.0
5-9,Female,3.9
5-9,Male,4.1
50-54,Female,2.7
50-54,Male,2.7
55-59,Female,2.2
55-59,Male,2.2
60-64,Female,1.9
60-64,Male,1.8
65-69,Female,1.6
65-69,Male,1.4
70-74,Female,1.3
70-74,Male,1.1
75-79,Female,0.9
75-79,Male,0.8
80-84,Female,0.6
80-84,Male,0.5
85-89,Female,0.4
85-89,Male,0.3
90-94,Female,0.1
90-94,Male,0.1
95-99,Female,0.0
95-99,Male,0.0
