Category_1,Category_2,Percentage
0-4,Female,5.7
0-4,Male,5.8
10-14,Female,5.7
10-14,Male,5.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.1
15-19,Male,5.2
20-24,Female,4.7
20-24,Male,4.7
25-29,Female,4.5
25-29,Male,4.4
30-34,Female,4.5
30-34,Male,4.3
35-39,Female,4.0
35-39,Male,3.8
40-44,Female,2.9
40-44,Male,2.7
45-49,Female,1.9
45-49,Male,1.8
5-9,Female,6.0
5-9,Male,6.0
50-54,Female,1.4
50-54,Male,1.3
55-59,Female,1.3
55-59,Male,1.0
60-64,Female,1.2
60-64,Male,0.8
65-69,Female,0.9
65-69,Male,0.6
70-74,Female,0.7
70-74,Male,0.3
75-79,Female,0.4
75-79,Male,0.2
80-84,Female,0.3
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
