Category_1,Category_2,Percentage
0-4,Female,2.7
0-4,Male,2.8
10-14,Female,3.4
10-14,Male,3.6
100+,Female,0.0
100+,Male,0.0
15-19,Female,3.5
15-19,Male,3.6
20-24,Female,3.7
20-24,Male,3.8
25-29,Female,3.9
25-29,Male,4.0
30-34,Female,4.0
30-34,Male,4.1
35-39,Female,4.0
35-39,Male,4.0
40-44,Female,3.7
40-44,Male,3.6
45-49,Female,3.3
45-49,Male,3.1
5-9,Female,3.3
5-9,Male,3.4
50-54,Female,3.0
50-54,Male,2.8
55-59,Female,3.0
55-59,Male,2.7
60-64,Female,2.7
60-64,Male,2.5
65-69,Female,2.1
65-69,Male,1.9
70-74,Female,1.6
70-74,Male,1.4
75-79,Female,1.2
75-79,Male,1.0
80-84,Female,0.8
80-84,Male,0.6
85-89,Female,0.5
85-89,Male,0.3
90-94,Female,0.2
90-94,Male,0.1
95-99,Female,0.1
95-99,Male,0.0
