Category_1,Category_2,Percentage
0-4,Female,2.0
0-4,Male,2.1
10-14,Female,2.3
10-14,Male,2.4
15-19,Female,2.4
15-19,Male,2.6
20-24,Female,2.6
20-24,Male,2.8
25-29,Female,2.6
25-29,Male,2.7
30-34,Female,2.7
30-34,Male,2.7
35-39,Female,3.0
35-39,Male,2.9
40-44,Female,3.5
40-44,Male,3.3
45-49,Female,4.0
45-49,Male,3.7
5-9,Female,2.0
5-9,Male,2.1
50-54,Female,3.9
50-54,Male,3.5
55-59,Female,3.8
55-59,Male,3.4
60-64,Female,3.7
60-64,Male,3.2
65-69,Female,3.5
65-69,Male,3.0
70-74,Female,3.2
70-74,Male,2.7
75-79,Female,2.7
75-79,Male,2.1
80-84,Female,2.0
80-84,Male,1.4
85+,Female,2.3
85+,Male,1.2
