Category_1,Category_2,Percentage
0-4,Female,5.9
0-4,Male,6.0
10-14,Female,4.9
10-14,Male,5.0
100+,Female,0.0
100+,Male,0.0
15-19,Female,5.0
15-19,Male,5.0
20-24,Female,5.0
20-24,Male,5.0
25-29,Female,5.0
25-29,Male,5.0
30-34,Female,4.5
30-34,Male,4.5
35-39,Female,3.4
35-39,Male,3.5
40-44,Female,2.6
40-44,Male,2.7
45-49,Female,2.1
45-49,Male,2.1
5-9,Female,5.2
5-9,Male,5.3
50-54,Female,1.8
50-54,Male,1.7
55-59,Female,1.5
55-59,Male,1.4
60-64,Female,1.0
60-64,Male,1.0
65-69,Female,0.8
65-69,Male,0.8
70-74,Female,0.6
70-74,Male,0.5
75-79,Female,0.4
75-79,Male,0.3
80-84,Female,0.2
80-84,Male,0.1
85-89,Female,0.1
85-89,Male,0.1
90-94,Female,0.0
90-94,Male,0.0
95-99,Female,0.0
95-99,Male,0.0
