Category_1,Category_2,Percentage
0-4,Female,2.1
0-4,Male,2.2
10-14,Female,2.6
10-14,Male,2.7
100+,Female,0.0
100+,Male,0.0
15-19,Female,2.5
15-19,Male,2.7
20-24,Female,2.5
20-24,Male,2.6
25-29,Female,2.7
25-29,Male,2.8
30-34,Female,2.7
30-34,Male,2.9
35-39,Female,3.1
35-39,Male,3.2
40-44,Female,3.5
40-44,Male,3.6
45-49,Female,3.4
45-49,Male,3.5
5-9,Female,2.2
5-9,Male,2.3
50-54,Female,3.4
50-54,Male,3.4
55-59,Female,3.7
55-59,Male,3.5
60-64,Female,3.9
60-64,Male,3.5
65-69,Female,3.8
65-69,Male,3.3
70-74,Female,3.3
70-74,Male,2.6
75-79,Female,2.4
75-79,Male,1.6
80-84,Female,2.0
80-84,Male,1.1
85-89,Female,1.3
85-89,Male,0.6
90-94,Female,0.6
90-94,Male,0.2
95-99,Female,0.1
95-99,Male,0.0
