Category_1,Category_2,Percentage
0-4,Female,7.3
0-4,Male,7.3
10-14,Female,6.6
10-14,Male,6.5
15-19,Female,6.0
15-19,Male,5.9
20-24,Female,4.9
20-24,Male,4.8
25-29,Female,4.1
25-29,Male,4.0
30-34,Female,3.6
30-34,Male,3.2
35-39,Female,3.2
35-39,Male,2.7
40-44,Female,2.5
40-44,Male,2.3
45-49,Female,1.6
45-49,Male,1.7
5-9,Female,6.8
5-9,Male,6.8
50-54,Female,1.2
50-54,Male,1.1
55-59,Female,1.1
55-59,Male,0.8
60-64,Female,0.8
60-64,Male,0.6
65-69,Female,0.5
65-69,Male,0.4
70-74,Female,0.4
70-74,Male,0.3
75-79,Female,0.3
75-79,Male,0.2
80-84,Female,0.2
80-84,Male,0.1
85+,Female,0.1
85+,Male,0.1
